State Abbreviation,Name,Release Year,High school graduation raw value,Unemployment raw value,Some college raw value,Ratio of population to mental health providers,Median household income raw value,Average Temperature,Average Precipitation,RUCC,Poor mental health days raw value,Crude Rate,high_school_treated,unemployment_treated,college_treated,mental_health_provider_treated,household_income_treated,temperature_treated,precipitation_treated
FL,Sarasota County,2011,0.7759999999999999,0.1119999999999999,0.575,2912.0,49001.0,73.88333333333333,3.665000000000001,2.0,2.5,21.7,0,0,0,0,1,0,0
FL,Seminole County,2011,0.725,0.098,0.69,4369.0,58175.0,73.00833333333334,4.241666666666666,1.0,3.2,13.3,0,0,1,0,1,0,0
FL,Sumter County,2011,0.6509999999999999,0.091,0.332,12537.0,48106.0,71.60833333333333,4.053333333333334,3.0,3.3,12.2,0,0,0,0,0,0,0
FL,Volusia County,2011,0.647,0.11,0.578,7651.0,45831.0,72.35833333333333,3.932500000000001,2.0,4.4,21.2,0,0,0,0,0,0,0
FL,Walton County,2011,0.616,0.074,0.545,8987.0,43779.0,67.34166666666667,3.8791666666666655,3.0,3.8,28.7,0,1,0,0,0,0,0
GA,Barrow County,2011,0.622,0.103,0.4629999999999999,70255.0,51318.0,61.96666666666667,3.4141666666666666,1.0,4.3,18.6,0,0,0,0,1,0,1
GA,Bartow County,2011,0.625,0.1159999999999999,0.452,8636.0,51762.0,61.59166666666667,3.940833333333333,1.0,4.3,17.9,0,0,0,0,1,0,0
GA,Bibb County,2011,0.4679999999999999,0.094,0.5660000000000001,2926.0,40857.0,64.55,2.8216666666666668,3.0,3.6,14.8,0,0,0,0,0,0,1
GA,Bulloch County,2011,0.6779999999999999,0.089,0.598,3568.0,38631.0,66.49166666666666,2.7425,4.0,3.5,16.5,0,0,0,0,0,0,1
GA,Carroll County,2011,0.616,0.105,0.495,6321.0,47307.0,61.45,3.803333333333333,1.0,3.6,15.4,0,0,0,0,0,0,0
GA,Chatham County,2011,0.496,0.083,0.625,2537.0,45132.0,67.70833333333333,2.933333333333332,2.0,3.2,11.0,0,0,1,0,0,0,1
GA,Cherokee County,2011,0.688,0.086,0.669,6003.0,68627.0,60.91666666666666,4.234999999999999,1.0,2.9,13.8,0,0,1,0,1,0,0
